PROJECT,DISTINCT_COUNT,TOKEN,
maker,219808,MKR,"Maker (MKR) is the governance token of the MakerDAO and Maker Protocol — respectively a decentralized organization and a software platform, both based on the Ethereum blockchain — that allows users to issue and manage the DAI stablecoin. Initially conceived in 2015 and fully launched in December 2017, Maker is a project whose task is to operate DAI, a community-managed decentralized cryptocurrency with a stable value soft-pegged to the US dollar. MKR tokens act as a kind of voting share for the organization that manages DAI; while they do not pay dividends to their holders, they do give the holders voting rights over the development of Maker Protocol and are expected to appreciate in value in accordance with the success of DAI itself. "
uniswap_v2,215112,UNI,"Uniswap is a popular decentralized trading protocol, known for its role in facilitating automated trading of decentralized finance (DeFi) tokens. An example of an automated market maker (AMM), Uniswap launched in November 2018, but has gained considerable popularity this year thanks to the DeFi phenomenon and associated surge in token trading. Uniswap aims to keep token trading automated and completely open to anyone who holds tokens, while improving the efficiency of trading versus that on traditional exchanges. Uniswap creates more efficiency by solving liquidity issues with automated solutions, avoiding the problems which plagued the first decentralized exchanges. In September 2020, Uniswap went a step further by creating and awarding its own governance token, UNI, to past users of the protocol. This added both profitability potential and the ability for users to shape its future — an attractive aspect of decentralized entities."
gnosis_safe,150260,GNO,"Gnosis (GNO) builds decentralized infrastructure on Ethereum. Its mission has always been centered on experimentation and building decentralized infrastructure for the Ethereum ecosystem. When Gnosis was founded in 2015, it focused on building prediction markets to enable worldwide access to accurate information. While creating the prediction market platform, it became clear that Gnosis needed to build the infrastructure required to support it. Gnosis Safe, for example, was born of necessity. Gnosis operates as a decentralized autonomous organization (DAO) which provides infrastructure for various types of decentralized applications (dApps), and builds products to transparently guide decisions on the development, support and governance of its ecosystem. In November 2021, both the xDAI and GnosisDAO community voted to combine their vibrant ecosystems to create the Gnosis Chain: An Ethereum forerunner-companion that addresses scaling issues through solid engineering."
argent,64479,,
foundation,47674,FND,"Foundation will have a utility for a fully decentralized protocol for private transactions on Ethereum. Trade anything. No registration, no hassle. Foundation's Vision is to grow the DeFi space while adhering to changing regulation and providing convenient utilities with privatization of their transactions. The goal of Foundation will always be to leave the vision and project decisions via DAO. You can submit proposals and they will be voted on by investors in the Foundation DAO site. Blockchain: Ethereum Blockchain"
instadapp_v2,45956,INST,"On Instadapp, users and developers manage and build their DeFi portfolio - the world's most advanced platform to start leveraging the full potential of Decentralized Finance. https://instadapp.io/"
sudo_amm,39431,SUDO,"SUDO is the governance token of the sudoswap, a concentrated liquidity AMM protocol for NFTs."
nexo,22089,NEXO,"Nexo is the world’s leading digital assets institution. The company’s mission is to maximize the value and utility of digital assets by offering a comprehensive suite of products that include advanced trading solutions for retail and institutional clients, aggregation of liquidity from leading venues, and tax-efficient asset-backed credit lines. In early 2022, the enterprise launched its investment arm Nexo Ventures, which now boasts over 60 portfolio companies. Nexo has processed $130+ billion for 5,000,000+ satisfied users across more than 200 jurisdictions. The NEXO Token is the platform’s native currency, an ERC-20, Ethereum-based token, that grants holders access to tiers in Nexo’s Loyalty Program. The token, which is traded on the open market, brings a number of advantages, including preferential borrowing rates, cash-back, free withdrawals and better yield rates."
dharma,19071,,
uniswap_v3,14273,UNI,"Uniswap is a popular decentralized trading protocol, known for its role in facilitating automated trading of decentralized finance (DeFi) tokens. An example of an automated market maker (AMM), Uniswap launched in November 2018, but has gained considerable popularity this year thanks to the DeFi phenomenon and associated surge in token trading. Uniswap aims to keep token trading automated and completely open to anyone who holds tokens, while improving the efficiency of trading versus that on traditional exchanges. Uniswap creates more efficiency by solving liquidity issues with automated solutions, avoiding the problems which plagued the first decentralized exchanges. In September 2020, Uniswap went a step further by creating and awarding its own governance token, UNI, to past users of the protocol. This added both profitability potential and the ability for users to shape its future — an attractive aspect of decentralized entities."
zora,12419,ZORA,"Zoracles builds zero knowledge oracles."
thirdweb,9206,,
rarible,8191,RARI,"Rarible is a creator-centric NFT marketplace and issuance platform that utilizes the RARI token to empower users who actively interact with the protocol. Users on the Rarible platform can easily create non-fungible tokens (NFTs) for unique digital items like artworks, game items and more. The platform offers users a fully-featured marketplace that is filtered and sorted using different categories to create a smooth and easy user experience. Anyone can create and post NFTs on the Rarible marketplace. The RARI token is a fundamental pillar of the platform as it is used to reward active users and for participating in the governance of the protocol."
rocketpool,7264,RPL,"Rocket Pool is a decentralized Ethereum staking pool offering up to 4.33% APR for ETH2 staking. Users can join the Rocket Pool with its decentralized node operator network or run their own nodes with only 16 ETH. In the latter case, they can earn a commission from staking ETH and earn additional RPL rewards from providing RPL collateral, amounting to up to 6.36% APR for ETH and the additional RPL rewards. Rocket Pool provides liquid staking, meaning users benefit from an increasing exchange rate instead of adding on to their initial staked collateral, which would be a taxable event. Furthermore, Rocket Pool offers smart nodes: a custom node software allowing anyone to run a node on its network. With losses from bad nodes distributed across the network, individual users minimize their risk of facing penalties. This is supported by the pool’s open-source and audited smart contracts, which guarantee fully non-custodial staking and a maximum degree of decentralization."
rarible_v1,4785,RARI,"Rarible is a creator-centric NFT marketplace and issuance platform that utilizes the RARI token to empower users who actively interact with the protocol. Users on the Rarible platform can easily create non-fungible tokens (NFTs) for unique digital items like artworks, game items and more. The platform offers users a fully-featured marketplace that is filtered and sorted using different categories to create a smooth and easy user experience. Anyone can create and post NFTs on the Rarible marketplace. The RARI token is a fundamental pillar of the platform as it is used to reward active users and for participating in the governance of the protocol."
partybuy,4425,PARTY,"PartySwap is a Decentralized Exchange (DEX) on the Avalanche Network; It works as an Automated Market Maker (AMM) where users can do permissionless swaps between currencies adding the use of smart contracts to create markets for any given pair of tokens. The PartySwap users can earn our reward token $PARTY by being Liquidity Providers on our platform; users can earn Yields on our farming pairs called ""Pinatas"" and our single-sided pools, better known as ""Jacuzzis."" The Project focuses on giving the users a good experience while using Decentralized Finance (DeFi) on Avalanche, adding additional features not found on other Avalanche DEXs having a unique and fun branding. In the second phase of the platform, we will also increase the utility of the platform token $PARTY, adding a lottery and a wide range of games where the PartySwap users can earn $PARTY rewards by playing or betting against other users. In the future, we plan to integrate a Decentralized Autonomous Organization (DAO) and a Subnet in the Avalanche Network, mainly centered on bringing a more decentralized approach into the decision-making of our Project and increasing the development possibilities."
sushi,4214,SUSHI,"SushiSwap (SUSHI) is an example of an automated market maker (AMM). An increasingly popular tool among cryptocurrency users, AMMs are decentralized exchanges which use smart contracts to create markets for any given pair of tokens. SushiSwap launched in September 2020 as a fork of Uniswap, the AMM which has become synonymous with the decentralized finance (DeFi) movement and associated trading boom in DeFi tokens. SushiSwap aims to diversify the AMM market and also add additional features not previously present on Uniswap, such as increased rewards for network participants via its in-house token, SUSHI."
uniswap,4021,UNI,"Uniswap is a popular decentralized trading protocol, known for its role in facilitating automated trading of decentralized finance (DeFi) tokens. An example of an automated market maker (AMM), Uniswap launched in November 2018, but has gained considerable popularity this year thanks to the DeFi phenomenon and associated surge in token trading. Uniswap aims to keep token trading automated and completely open to anyone who holds tokens, while improving the efficiency of trading versus that on traditional exchanges. Uniswap creates more efficiency by solving liquidity issues with automated solutions, avoiding the problems which plagued the first decentralized exchanges. In September 2020, Uniswap went a step further by creating and awarding its own governance token, UNI, to past users of the protocol. This added both profitability potential and the ability for users to shape its future — an attractive aspect of decentralized entities."
convex_finance,3965,CVX,"Convex Finance is a DeFi protocol that allows Curve liquidity providers to earn a share of trading fees on Curve without staking liquidity there. Instead, LPs can stake with Convex and receive boosted CRV and liquidity mining rewards. This provides CRV stakers with better capital efficiency and positions Convex Finance as an important player in the Curve wars. Convex has entered a competitive race to obtain as much control as possible of the Curve Finance stablecoin exchange. The more CRV tokens a protocol has, the more influence it has over interest rates on Curve, which is the largest DEX in the world by TVL. Consequently, the “Curve wars” are an ongoing race for influence over what is probably the most important protocol in DeFi."
gnosis_multisig,3959,GNO,"Gnosis (GNO) builds decentralized infrastructure on Ethereum. Its mission has always been centered on experimentation and building decentralized infrastructure for the Ethereum ecosystem. When Gnosis was founded in 2015, it focused on building prediction markets to enable worldwide access to accurate information. While creating the prediction market platform, it became clear that Gnosis needed to build the infrastructure required to support it. Gnosis Safe, for example, was born of necessity. Gnosis operates as a decentralized autonomous organization (DAO) which provides infrastructure for various types of decentralized applications (dApps), and builds products to transparently guide decisions on the development, support and governance of its ecosystem. In November 2021, both the xDAI and GnosisDAO community voted to combine their vibrant ecosystems to create the Gnosis Chain: An Ethereum forerunner-companion that addresses scaling issues through solid engineering."
